Name,Race,In-District,Out-of-District
Haley Stevens (D),Michigan District 11,17.30%,82.70%
Fayrouz Saad (D),Michigan District 11,0.00%,100.00%
Eric Esshaki (R),Michigan District 11,24.99%,75.01%
Carmelita Greco (R),Michigan District 11,11.78%,88.22%
Solomon Rajput (D),Michigan District 12,22.52%,77.48%
Jeff Jones (R),Michigan District 12,72.01%,27.99%
Debbie Dingell (D),Michigan District 12,29.30%,70.70%
Anthony Carbonaro (D),Michigan District 12,100.00%,0.00%
Rashida Tlaib (D),Michigan District 13,1.92%,98.08%
Donald Eason (I),Michigan District 13,0.00%,100.00%
David Dudenhoefer (R),Michigan District 13,2.02%,97.98%
Brenda Jones (D),Michigan District 13,5.47%,94.53%
Bill Wild (D),Michigan District 13,18.54%,81.46%
Al Lemmo (R),Michigan District 13,2.64%,97.36%
Vance Patrick (R),Michigan District 14,55.02%,44.98%
Terrance Morrison (D),Michigan District 14,0.29%,99.71%
Brenda Lawrence (D),Michigan District 14,37.76%,62.24%
Rich Wright (D),Minnesota District 01,93.34%,6.66%
Ralph Kaehler (D),Minnesota District 01,40.88%,59.12%
Johnny Akzam (D),Minnesota District 01,17.24%,82.76%
Jim Hagedorn (R),Minnesota District 01,36.93%,63.07%
Daniel Feehan (D),Minnesota District 01,17.07%,82.93%
Carla Nelson (R),Minnesota District 01,40.30%,59.70%
Tyler Kistner (R),Minnesota District 02,15.40%,84.60%
Rick Olson (R),Minnesota District 02,0.00%,100.00%
Regina Barr (R),Minnesota District 02,57.69%,42.31%
Kerry Zeiler (R),Minnesota District 02,0.00%,100.00%
Erika Cashin (R),Minnesota District 02,26.58%,73.42%
Angie Craig (D),Minnesota District 02,19.14%,80.86%
Kendall Qualls (R),Minnesota District 03,66.27%,33.73%
Gary Heyer (I),Minnesota District 03,0.00%,0.00%
Dean Phillips (D),Minnesota District 03,42.72%,57.28%
Travis Ekbom (R),Minnesota District 04,100.00%,0.00%
Tiffini Flynn Forslund (D),Minnesota District 04,21.05%,78.95%
Sia Lo (R),Minnesota District 04,40.21%,59.79%
David Sandbeck (D),Minnesota District 04,84.40%,15.60%
Betty McCollum (D),Minnesota District 04,20.38%,79.62%
Lucia Vogel (R),Minnesota District 05,100.00%,0.00%
Les Lester (D),Minnesota District 05,3.11%,96.89%
Leila Shukri Adan (D),Minnesota District 05,6.98%,93.02%
Laverne Turner (R),Minnesota District 05,33.22%,66.78%
Lacy Johnson (R),Minnesota District 05,1.45%,98.55%
John Mason (D),Minnesota District 05,25.45%,74.55%
Ilhan Omar (D),Minnesota District 05,6.56%,93.44%
Danielle Stella (R),Minnesota District 05,0.00%,100.00%
Dalia Al-Aqidi (R),Minnesota District 05,2.01%,97.99%
Chris Kelley (3),Minnesota District 05,2.28%,97.72%
Antone Melton-Meaux (D),Minnesota District 05,26.27%,73.73%
Alley Waterbury (R),Minnesota District 05,0.00%,100.00%
Tom Emmer (R),Minnesota District 06,13.33%,86.67%
Tawnja Zahradka (D),Minnesota District 06,75.54%,24.46%
Ian Todd (D),Minnesota District 06,73.24%,26.76%
Thaddeus Laugisch (D),Minnesota District 07,60.71%,39.29%
Noel Collis (R),Minnesota District 07,27.80%,72.20%
Michelle Fischbach (R),Minnesota District 07,11.67%,88.33%
Joel Novak (R),Minnesota District 07,100.00%,0.00%
Jayesun Sherman (R),Minnesota District 07,2.00%,98.00%
Dave Hughes (R),Minnesota District 07,68.18%,31.82%
Collin Peterson (D),Minnesota District 07,13.45%,86.55%
Soren Sorensen (D),Minnesota District 08,59.07%,40.93%
Quinn Nystrom (D),Minnesota District 08,37.96%,62.04%
Pete Stauber (R),Minnesota District 08,40.09%,59.91%
Trent Kelly (R),Mississippi District 01,51.38%,48.62%
Antonia Eliason (D),Mississippi District 01,57.17%,42.83%
Brian Flowers (R),Mississippi District 02,100.00%,0.00%
Bennie G Thompson (D),Mississippi District 02,7.40%,92.60%
Michael Guest (R),Mississippi District 03,60.48%,39.52%
Katelyn Lee (D),Mississippi District 03,38.06%,61.94%
James Tulp (R),Mississippi District 03,0.00%,100.00%
Dorothy Benford (D),Mississippi District 03,8.65%,91.35%
Steven Palazzo (R),Mississippi District 04,50.93%,49.07%
Samuel Hickman (R),Mississippi District 04,100.00%,0.00%
Robert Deming (R),Mississippi District 04,83.83%,16.17%
Jeramey Anderson (D),Mississippi District 04,100.00%,0.00%
Carl Boyanton (R),Mississippi District 04,0.00%,100.00%
William L Clay Jr. (D),Missouri District 01,11.51%,88.49%
Cori Bush (D),Missouri District 01,9.99%,90.01%
Jill Schupp (D),Missouri District 02,40.29%,59.71%
Ann L Wagner (R),Missouri District 02,43.21%,56.79%
Katy Geppert (D),Missouri District 03,30.90%,69.10%
Dennis Oglesby (D),Missouri District 03,39.69%,60.31%
Brandon Wilkinson (R),Missouri District 03,71.24%,28.76%
Blaine Luetkemeyer (R),Missouri District 03,45.68%,54.32%
Vicky Hartzler (R),Missouri District 04,32.54%,67.46%
Neal Gist (R),Missouri District 04,0.00%,100.00%
Lindsey Simmons (D),Missouri District 04,37.22%,62.78%
Erich Arvidson (D),Missouri District 04,63.16%,36.84%
Ryan Derks (R),Missouri District 05,64.85%,35.15%
MG Salazar (D),Missouri District 05,39.28%,60.72%
Emanuel Cleaver (D),Missouri District 05,37.04%,62.96%
Vic Abundis (D),Missouri District 06,10.98%,89.02%
Sam Graves (R),Missouri District 06,22.04%,77.96%
Ramona Farris (D),Missouri District 06,25.30%,74.70%
Henry Martin (D),Missouri District 06,40.59%,59.41%
Gena Ross (D),Missouri District 06,75.15%,24.85%
Charles West (D),Missouri District 06,51.06%,48.94%
Teresa Montseny (D),Missouri District 07,69.20%,30.80%
Michael Moon (R),Missouri District 07,0.00%,100.00%
Jamie Schoolcraft (D),Missouri District 07,0.00%,100.00%
Eric Harleman (R),Missouri District 07,73.18%,26.82%
Billy Long (R),Missouri District 07,62.88%,37.12%
Audrey Richards (I),Missouri District 07,100.00%,0.00%
Kathryn Ellis (D),Missouri District 08,40.58%,59.42%
Jason Smith (R),Missouri District 08,47.64%,52.36%
Nick Oviatt (R),Nebraska District 01,100.00%,0.00%
Kate Bolz (D),Nebraska District 01,66.62%,33.38%
Jeff Fortenberry (R),Nebraska District 01,41.01%,58.99%
Barbara Ramsey (D),Nebraska District 01,48.33%,51.67%
Morgann Freeman (D),Nebraska District 02,79.97%,20.03%
Kara Eastman (D),Nebraska District 02,20.61%,79.39%
Gladys Harrison (D),Nebraska District 02,76.59%,23.41%
Don Bacon (R),Nebraska District 02,45.40%,54.60%
Ann Ashford (D),Nebraska District 02,78.92%,21.08%
Mark Elworth Jr (D),Nebraska District 03,28.41%,71.59%
Adrian Smith (R),Nebraska District 03,35.99%,64.01%
Dina Titus (D),Nevada District 01,24.99%,75.01%
Citlaly Larios-Elias (R),Nevada District 01,55.56%,44.44%
Sharron Angle (R),Nevada District 02,100.00%,0.00%
Rick Shepherd (D),Nevada District 02,100.00%,0.00%
Patricia Ackerman (D),Nevada District 02,72.98%,27.02%
Mark Amodei (R),Nevada District 02,76.73%,23.27%
Jesse Hurley (R),Nevada District 02,0.00%,100.00%
Ed Cohen (D),Nevada District 02,50.09%,49.91%
Clint Koble (D),Nevada District 02,78.87%,21.13%
Zachary Walkerlieb (R),Nevada District 03,43.56%,56.44%
Tiger Helgelien (R),Nevada District 03,31.75%,68.25%
Susie Lee (D),Nevada District 03,24.06%,75.94%
Richard Hart (D),Nevada District 03,100.00%,0.00%
Mindy Robinson (R),Nevada District 03,10.92%,89.08%
Michelle Mortensen (R),Nevada District 03,0.00%,100.00%
Danny Tarkanian (R),Nevada District 03,0.00%,0.00%
Dan Schwartz (R),Nevada District 03,4.58%,95.42%
Dan Rodimer (R),Nevada District 03,25.79%,74.21%
Steven Horsford (D),Nevada District 04,8.36%,91.64%
Sam Peters (R),Nevada District 04,28.94%,71.06%
Rebecca Wood (R),Nevada District 04,81.16%,18.84%
Randi Reed (R),Nevada District 04,2.72%,97.28%
Lisa Song Sutton (R),Nevada District 04,4.96%,95.04%
Leo Dunson (R),Nevada District 04,3.36%,96.64%
Leo Blundo (R),Nevada District 04,30.54%,69.46%
Jonathan Royce Esteban (L),Nevada District 04,50.00%,50.00%
Jim Marchant (R),Nevada District 04,5.15%,94.85%
Gabrielle D'Ayr (D),Nevada District 04,100.00%,0.00%
Charles Navarro (R),Nevada District 04,31.03%,68.97%
Catherine Prato (R),Nevada District 04,21.92%,78.08%
Amy Vilela (D),Nevada District 04,0.86%,99.14%
William Fowler (R),New Hampshire District 01,100.00%,0.00%
Mindi Messmer (D),New Hampshire District 01,74.17%,25.83%
Matt Mowers (R),New Hampshire District 01,23.99%,76.01%
Matt Mayberry (R),New Hampshire District 01,76.43%,23.57%
Chris Pappas (D),New Hampshire District 01,35.43%,64.57%
Steve Negron (R),New Hampshire District 02,70.28%,29.72%
Lynne Blankenbeker (R),New Hampshire District 02,54.07%,45.93%
Eli Clemmer (R),New Hampshire District 02,85.29%,14.71%
Ann Kuster (D),New Hampshire District 02,48.60%,51.40%
Josh Duvall (R),New Jersey District 01,14.90%,85.10%
Don Norcross (D),New Jersey District 01,41.41%,58.59%
Claire Gustafson (R),New Jersey District 01,21.64%,78.36%
William Cunningham (D),New Jersey District 02,18.91%,81.09%
Seth Grossman (R),New Jersey District 02,100.00%,0.00%
John Francis (D),New Jersey District 02,6.53%,93.47%
Jeff Van Drew (R),New Jersey District 02,37.92%,62.08%
Brigid Callahan Harrison (D),New Jersey District 02,23.11%,76.89%
Brian Fitzherbert (R),New Jersey District 02,51.47%,48.53%
Bob Patterson (R),New Jersey District 02,3.67%,96.33%
Ashley Bennett (D),New Jersey District 02,17.90%,82.10%
Amy Kennedy (D),New Jersey District 02,12.68%,87.32%
Kate Gibbs (R),New Jersey District 03,20.97%,79.03%
John J. Novak (R),New Jersey District 03,22.90%,77.10%
David Richter (R),New Jersey District 03,32.09%,67.91%
Andy Kim (D),New Jersey District 03,21.42%,78.58%
Tiffany Kaszuba (D),New Jersey District 04,26.13%,73.87%
Stephanie Schmid (D),New Jersey District 04,26.90%,73.10%
Jim Keady (D),New Jersey District 04,33.31%,66.69%
David Applefield (D),New Jersey District 04,2.22%,97.78%
Christine Conforti (D),New Jersey District 04,31.83%,68.17%
Chris Smith (R),New Jersey District 04,23.91%,76.09%
Roy Cho (D),New Jersey District 05,20.00%,80.00%
Mike Ghassali (R),New Jersey District 05,63.92%,36.08%
Louis A. Vellucci (I),New Jersey District 05,7.69%,92.31%
Josh Gottheimer (D),New Jersey District 05,20.51%,79.49%
Jon Dalrymple Jr. (R),New Jersey District 05,0.00%,100.00%
John McCann (R),New Jersey District 05,45.64%,54.36%
James Baldini (R),New Jersey District 05,100.00%,0.00%
Hector Castillo (R),New Jersey District 05,40.20%,59.80%
Frank Pallotta (R),New Jersey District 05,54.74%,45.26%
Dana DiRisio (R),New Jersey District 05,0.00%,100.00%
Arati Kreibich (D),New Jersey District 05,30.13%,69.87%
Zac Roeill (D),New Jersey District 06,40.38%,59.62%
Sammy Gindi (R),New Jersey District 06,10.87%,89.13%
Russell Cirincione (D),New Jersey District 06,14.79%,85.21%
John Hsu (D),New Jersey District 06,53.37%,46.63%
Javahn Walker (D),New Jersey District 06,7.63%,92.37%
Frank Pallone Jr. (D),New Jersey District 06,7.37%,92.63%
Amani Al-Khatahtbeh (D),New Jersey District 06,2.02%,97.98%
Tom Phillips (R),New Jersey District 07,43.24%,56.76%
Tom Malinowski (D),New Jersey District 07,40.05%,59.95%
Tom Kean (R),New Jersey District 07,38.61%,61.39%
Goutam Jois (D),New Jersey District 07,0.00%,0.00%
Will Sheehan (D),New Jersey District 08,5.03%,94.97%
Hector Oseguera (D),New Jersey District 08,43.21%,56.79%
Albio Sires (D),New Jersey District 08,24.97%,75.03%
Zina Spezakis (D),New Jersey District 09,15.99%,84.01%
Timothy Walsh (R),New Jersey District 09,0.00%,100.00%
Michael Wildes (D),New Jersey District 09,30.58%,69.42%
Billy Prempeh (R),New Jersey District 09,42.36%,57.64%
Bill Pascrell Jr. (D),New Jersey District 09,25.84%,74.16%
Alp Basaran (D),New Jersey District 09,18.64%,81.36%
John Flora (D),New Jersey District 10,31.59%,68.41%
Jen Zinone (R),New Jersey District 10,0.00%,100.00%
Eugene Mazo (D),New Jersey District 10,1.64%,98.36%
Donald M Payne Jr. (D),New Jersey District 10,13.45%,86.55%
Rosemary Becchi (R),New Jersey District 11,44.36%,55.64%
Reinier Prijten (R),New Jersey District 11,0.00%,100.00%
Mikie Sherrill (D),New Jersey District 11,36.38%,63.62%
Mark Washburne (D),New Jersey District 11,20.80%,79.20%
Mark Razzoli (R),New Jersey District 12,0.00%,0.00%
Bonnie Watson Coleman (D),New Jersey District 12,47.83%,52.17%
Randi McGinn (D),New Mexico District 01,57.99%,42.01%
Michelle Garcia Holmes (R),New Mexico District 01,74.00%,26.00%
Melanie Stansbury (D),New Mexico District 01,47.22%,52.78%
Jared Vanderdussen (R),New Mexico District 01,9.31%,90.69%
Debra Haaland (D),New Mexico District 01,26.88%,73.12%
Cameron Chick (D),New Mexico District 01,6.25%,93.75%
Brett Kokinadis (R),New Mexico District 01,0.00%,0.00%
Antoinette Sedillo Lopez (D),New Mexico District 01,62.49%,37.51%
Yvette Herrell (R),New Mexico District 02,53.40%,46.60%
Xochitl Torres Small (D),New Mexico District 02,12.31%,87.69%
Claire Chase (R),New Mexico District 02,58.06%,41.94%
Chris Mathys (R),New Mexico District 02,100.00%,0.00%
Valerie Plame (D),New Mexico District 03,8.56%,91.44%
Teresa Leger Fernandez (D),New Mexico District 03,48.13%,51.87%
Rob Apodaca (D),New Mexico District 03,53.52%,46.48%
Mark McDonald (D),New Mexico District 03,0.00%,100.00%
Marco Serna (D),New Mexico District 03,42.43%,57.57%
Laura Montoya (D),New Mexico District 03,47.64%,52.36%
Kyle Tisdel (D),New Mexico District 03,47.74%,52.26%
Karen Bedonie (R),New Mexico District 03,53.62%,46.38%
Joseph Sanchez (D),New Mexico District 03,71.50%,28.50%
John Blair (D),New Mexico District 03,27.03%,72.97%
Harry Montoya (R),New Mexico District 03,90.51%,9.49%
Gavin Kaiser (D),New Mexico District 03,0.00%,100.00%
Audra Brown (R),New Mexico District 03,100.00%,0.00%
Anise Golden Morpor (R),New Mexico District 03,76.19%,23.81%
Alexis Johnson (R),New Mexico District 03,65.88%,34.12%
Perry Gershon (D),New York District 01,38.80%,61.20%
Nancy Goroff (D),New York District 01,30.34%,69.66%
Lee Zeldin (R),New York District 01,22.41%,77.59%
Greg Fischer (D),New York District 01,0.00%,100.00%
Bridget Fleming (D),New York District 01,66.36%,33.64%
Pete King (R),New York District 02,9.85%,90.15%
Pat Maher (D),New York District 02,0.23%,99.77%
Nick LaLota (R),New York District 02,13.16%,86.84%
Mike Sax (D),New York District 02,0.00%,100.00%
Mike Lipetri (R),New York District 02,52.31%,47.69%
Kevin Gomez (D),New York District 02,37.97%,62.03%
Johanna Ellerup (D),New York District 02,0.00%,100.00%
Jackie Gordon (D),New York District 02,7.23%,92.77%
Harry Burger (3),New York District 02,43.77%,56.23%
Andrew Garbarino (R),New York District 02,36.82%,63.18%
Tom Suozzi (D),New York District 03,52.68%,47.32%
Michael Weinstock (D),New York District 03,22.45%,77.55%
Melanie D'Arrigo (D),New York District 03,53.15%,46.85%
George Devolder-Santos (R),New York District 03,22.08%,77.92%
Steve Raiser (R),New York District 04,29.78%,70.22%
Kathleen Rice (D),New York District 04,18.63%,81.37%
Douglas Tuman (R),New York District 04,27.05%,72.95%
David J Leblanc (D),New York District 04,39.08%,60.92%
Cindy Grosz (R),New York District 04,55.88%,44.12%
Gregory W Meeks (D),New York District 05,5.72%,94.28%
Amit Lal (I),New York District 05,100.00%,0.00%
Thomas Zmich (R),New York District 06,27.41%,72.59%
Sandra Choi (D),New York District 06,27.02%,72.98%
Mel Gagarin (D),New York District 06,7.71%,92.29%
Matthew Dibono (D),New York District 06,0.00%,100.00%
Grace Meng (D),New York District 06,17.39%,82.61%
Paperboy Prince (D),New York District 07,36.98%,63.02%
Nydia M Velazquez (D),New York District 07,8.37%,91.63%
Iro Omere (D),New York District 07,0.00%,100.00%
Hakeem Jeffries (D),New York District 08,1.56%,98.44%
Abe Jamie Garcia (D),New York District 08,0.00%,100.00%
Yvette D Clarke (D),New York District 09,11.20%,88.80%
Michael Hiller (D),New York District 09,0.86%,99.14%
Lutchi Gayot (D),New York District 09,15.03%,84.97%
Isiah James (D),New York District 09,20.49%,79.51%
Chaim Deutsch (D),New York District 09,27.51%,72.49%
Alexander Hubbard (D),New York District 09,2.11%,97.89%
Adem Bunkeddeko (D),New York District 09,11.81%,88.19%
Michael Madrid (L),New York District 10,11.36%,88.64%
Lindsey Boylan (D),New York District 10,15.52%,84.48%
Jonathan Herzog (D),New York District 10,12.17%,87.83%
Jerrold Nadler (D),New York District 10,30.50%,69.50%
Jeanne Nigro (I),New York District 10,0.00%,100.00%
Holly Lynch (D),New York District 10,59.84%,40.16%
Dylan Stevenson (R),New York District 10,95.64%,4.36%
Cathy Bernstein (R),New York District 10,9.11%,90.89%
Bob Wyman (D),New York District 10,0.00%,100.00%
Amanda Pearl Frankel (D),New York District 10,4.49%,95.51%
Nicole Malliotakis (R),New York District 11,34.79%,65.21%
Max Rose (D),New York District 11,10.08%,89.92%
Kemi Akindude (I),New York District 11,49.31%,50.69%
Joey Saladino (R),New York District 11,67.06%,32.94%
Joe Caldarera (R),New York District 11,53.02%,46.98%
Vladimy Joseph (D),New York District 12,78.79%,21.21%
Suraj Patel (D),New York District 12,8.55%,91.45%
Peter Harrison (D),New York District 12,26.19%,73.81%
Lauren Ashcraft (D),New York District 12,17.92%,82.08%
Erica Vladimer (D),New York District 12,16.84%,83.16%
Carolyn B Maloney (D),New York District 12,51.91%,48.09%
Carlos Santiago-Cano (R),New York District 12,0.00%,0.00%
Richard Habersham (D),New York District 13,8.66%,91.34%
Pedro Lopez (D),New York District 13,0.00%,100.00%
Lovelynn Gwinn (R),New York District 13,0.82%,99.18%
James Felton Keith (D),New York District 13,7.75%,92.25%
Adriano Espaillat (D),New York District 13,8.09%,91.91%
Scherie Murray (R),New York District 14,0.48%,99.52%
Ruth Papazian (R),New York District 14,0.00%,100.00%
Miguel Hernandez (R),New York District 14,0.00%,100.00%
Michelle Caruso-Cabrera (D),New York District 14,0.45%,99.55%
Jose Velazquez (D),New York District 14,7.52%,92.48%
John C. Cummings (R),New York District 14,0.68%,99.32%
Jineea Butler (R),New York District 14,0.00%,100.00%
Fernando Cabrera (D),New York District 14,2.65%,97.35%
Badrun Khan (D),New York District 14,28.46%,71.54%
Antoine Tucker (R),New York District 14,0.36%,99.64%
Alexandria Ocasio-Cortez (D),New York District 14,1.08%,98.92%
Ydanis Rodriguez (D),New York District 15,7.41%,92.59%
Tomas Ramos (D),New York District 15,5.08%,94.92%
Samelys Lopez (D),New York District 15,4.32%,95.68%
Ruben Diaz Sr (D),New York District 15,24.32%,75.68%
Ritchie Torres (D),New York District 15,1.44%,98.56%
Michael Blake (D),New York District 15,2.99%,97.01%
Melissa Mark-Viverito (D),New York District 15,4.74%,95.26%
Marlene Tapper (D),New York District 15,0.00%,100.00%
Marlene Cintron (D),New York District 15,27.40%,72.60%
Julio Pabon (D),New York District 15,29.15%,70.85%
Jose E Serrano (D),New York District 15,0.00%,100.00%
Jonathan Ortiz (D),New York District 15,51.35%,48.65%
Frangell Basora (D),New York District 15,24.30%,75.70%
Chivona Renee Newsome (D),New York District 15,10.84%,89.16%
Samuel Ravelo (D),New York District 16,22.73%,77.27%
Kenneth Belvin (D),New York District 16,20.71%,79.29%
Jamaal Bowman (D),New York District 16,7.14%,92.86%
Eliot Engel (D),New York District 16,9.71%,90.29%
Chris Fink (D),New York District 16,29.86%,70.14%
Andom Ghebreghiorgis (D),New York District 16,7.49%,92.51%
Yehudis Gottesfeld (R),New York District 17,25.77%,74.23%
Nita M Lowey (D),New York District 17,16.39%,83.61%
Mondaire Jones (D),New York District 17,28.18%,71.82%
Michael Parietti (3),New York District 17,100.00%,0.00%
Maureen McArdle Schulman (R),New York District 17,48.03%,51.97%
Lola Osoria (D),New York District 17,0.00%,100.00%
Josh Eisen (R),New York District 17,8.95%,91.05%
Jo-Anna Rodriguez-Wheeler (D),New York District 17,0.00%,100.00%
Evelyn Farkas (D),New York District 17,14.39%,85.61%
Delter Guin (D),New York District 17,0.00%,100.00%
David M. Katz (D),New York District 17,50.00%,50.00%
David Carlucci (D),New York District 17,63.93%,36.07%
David Buchwald (D),New York District 17,31.88%,68.12%
Catherine Parker (D),New York District 17,32.04%,67.96%
Asha Castleberry Hernandez (D),New York District 17,25.13%,74.87%
Allison Fine (D),New York District 17,39.28%,60.72%
Adam Schleifer (D),New York District 17,28.18%,71.82%
Sean Patrick Maloney (D),New York District 18,27.82%,72.18%
James O'Donnell (R),New York District 18,0.00%,0.00%
Chele Farley (R),New York District 18,15.12%,84.88%
Ola Hawatmeh (R),New York District 19,50.19%,49.81%
Kyle Van De Water (R),New York District 19,60.81%,39.19%
John Faso (R),New York District 19,0.00%,100.00%
Antonio Delgado (D),New York District 19,29.49%,70.51%
Anthony German (R),New York District 19,55.57%,44.43%
Paul Tonko (D),New York District 20,64.51%,35.49%
Michael Seney (R),New York District 20,50.00%,50.00%
Elizabeth Joy (R),New York District 20,73.82%,26.18%
Tedra Cobb (D),New York District 21,28.90%,71.10%
Elise Stefanik (R),New York District 21,7.20%,92.80%
Stephen Cornwell (R),New York District 22,91.33%,8.67%
George Phillips (R),New York District 22,43.08%,56.92%
Franklin Sager (R),New York District 22,100.00%,0.00%
Claudia Tenney (R),New York District 22,21.28%,78.72%
Anthony Brindisi (D),New York District 22,27.34%,72.66%
Tracy Mitrano (D),New York District 23,83.91%,16.09%
Tom Reed (R),New York District 23,21.30%,78.70%
Scott Noren (D),New York District 23,91.17%,8.83%
Roger Misso (D),New York District 24,8.24%,91.76%
John Katko (R),New York District 24,38.51%,61.49%
Francis Conole (D),New York District 24,45.64%,54.36%
Dana Balter (D),New York District 24,39.92%,60.08%
Robin Wilt (D),New York District 25,49.25%,50.75%
Kevin Wilson (L),New York District 25,75.12%,24.88%
Joseph D Morelle (D),New York District 25,47.81%,52.19%
George Mitris (R),New York District 25,66.11%,33.89%
Emin Eddie Egriu (D),New York District 26,97.32%,2.68%
Brian M Higgins (D),New York District 26,44.86%,55.14%
Stefan Mychajliw (R),New York District 27,77.78%,22.22%
Rob Ortt (R),New York District 27,64.39%,35.61%
Nate McMurray (D),New York District 27,44.35%,55.65%
Duane Whitmer (L),New York District 27,36.80%,63.20%
Chris Jacobs (R),New York District 27,28.89%,71.11%
Chris Collins (R),New York District 27,63.68%,36.32%
Beth Parlato (R),New York District 27,56.82%,43.18%
Sandy Smith (R),North Carolina District 01,4.19%,95.81%
Michele Nix (R),North Carolina District 01,2.38%,97.62%
G K Butterfield (D),North Carolina District 01,8.99%,91.01%
Deandre Carter (D),North Carolina District 01,10.50%,89.50%
Scott Cooper (D),North Carolina District 02,1.13%,98.87%
Monika Johnson-Hostler (D),North Carolina District 02,6.85%,93.15%
Jason Butler (D),North Carolina District 02,4.63%,95.37%
Japheth Matemu (L),North Carolina District 02,0.00%,0.00%
George Holding (R),North Carolina District 02,0.05%,99.95%
Deborah Ross (D),North Carolina District 02,3.29%,96.71%
Andy Terrell (D),North Carolina District 02,0.51%,99.49%
Alan Swain (R),North Carolina District 02,10.08%,89.92%
Robert Rollason (R),North Carolina District 03,100.00%,0.00%
Richard Bew (D),North Carolina District 03,7.50%,92.50%
Phil Shepard (R),North Carolina District 03,88.31%,11.69%
Phil Law (R),North Carolina District 03,80.54%,19.46%
Paul Beaumont (R),North Carolina District 03,70.25%,29.75%
