District,Estimated_Household_Median_Income
"Congressional District 17 (116th Congress), Texas",58929
"Congressional District 18 (116th Congress), Texas",48625
"Congressional District 19 (116th Congress), Texas",55278
"Congressional District 20 (116th Congress), Texas",54908
"Congressional District 21 (116th Congress), Texas",73472
"Congressional District 22 (116th Congress), Texas",101658
"Congressional District 23 (116th Congress), Texas",59074
"Congressional District 24 (116th Congress), Texas",79667
"Congressional District 25 (116th Congress), Texas",79975
"Congressional District 26 (116th Congress), Texas",96307
"Congressional District 27 (116th Congress), Texas",55987
"Congressional District 28 (116th Congress), Texas",53597
"Congressional District 29 (116th Congress), Texas",48300
"Congressional District 30 (116th Congress), Texas",51819
"Congressional District 31 (116th Congress), Texas",75813
"Congressional District 32 (116th Congress), Texas",76464
"Congressional District 33 (116th Congress), Texas",45997
"Congressional District 34 (116th Congress), Texas",42092
"Congressional District 35 (116th Congress), Texas",53898
"Congressional District 36 (116th Congress), Texas",62206
"Congressional District 1 (116th Congress), Utah",73964
"Congressional District 2 (116th Congress), Utah",69852
"Congressional District 3 (116th Congress), Utah",78931
"Congressional District 4 (116th Congress), Utah",80918
"Congressional District (at Large) (116th Congress), Vermont",63001
"Congressional District 1 (116th Congress), Virginia",90181
"Congressional District 2 (116th Congress), Virginia",74704
"Congressional District 3 (116th Congress), Virginia",56455
"Congressional District 4 (116th Congress), Virginia",60407
"Congressional District 5 (116th Congress), Virginia",57615
"Congressional District 6 (116th Congress), Virginia",59939
"Congressional District 7 (116th Congress), Virginia",81364
"Congressional District 8 (116th Congress), Virginia",111627
"Congressional District 9 (116th Congress), Virginia",46909
"Congressional District 10 (116th Congress), Virginia",132226
"Congressional District 11 (116th Congress), Virginia",118099
"Congressional District 1 (116th Congress), Washington",106190
"Congressional District 2 (116th Congress), Washington",75095
"Congressional District 3 (116th Congress), Washington",70936
"Congressional District 4 (116th Congress), Washington",59872
"Congressional District 5 (116th Congress), Washington",57837
"Congressional District 6 (116th Congress), Washington",72169
"Congressional District 7 (116th Congress), Washington",100991
"Congressional District 8 (116th Congress), Washington",95968
"Congressional District 9 (116th Congress), Washington",90353
"Congressional District 10 (116th Congress), Washington",75114
"Congressional District 1 (116th Congress), West Virginia",51480
"Congressional District 2 (116th Congress), West Virginia",52166
"Congressional District 3 (116th Congress), West Virginia",42553
"Congressional District 1 (116th Congress), Wisconsin",68695
"Congressional District 2 (116th Congress), Wisconsin",72036
"Congressional District 3 (116th Congress), Wisconsin",59426
"Congressional District 4 (116th Congress), Wisconsin",47421
"Congressional District 5 (116th Congress), Wisconsin",77386
"Congressional District 6 (116th Congress), Wisconsin",63251
"Congressional District 7 (116th Congress), Wisconsin",60706
"Congressional District 8 (116th Congress), Wisconsin",65346
"Congressional District (at Large) (116th Congress), Wyoming",65003
"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",20474
