,Seat,Candidate,Party,Raised,Spent,Winner,Incumbent
0,IL07,Tracy Jennings ,dem,"$65,283","$65,283",N,N
0,IL08,Raja Krishnamoorthi ,dem,"$6,358,878","$2,207,703",Y,Y
0,IL09,Jan Schakowsky ,dem,"$1,834,801","$1,514,838",Y,Y
0,IL09,Sargis Sangari ,gop,"$35,364","$34,715",N,N
0,IL10,Brad Schneider ,dem,"$3,459,512","$2,873,333",Y,Y
0,IL10,Valerie Ramirez Mukherjee ,gop,"$130,225","$64,764",N,N
0,IL11,Bill Foster ,dem,"$2,381,354","$1,823,906",Y,Y
0,IL11,Rick Laib ,gop,"$20,343","$20,064",N,N
0,IL12,Mike Bost ,gop,"$1,918,041","$1,509,573",Y,Y
0,IL12,Ray Lenzi ,dem,"$161,324","$104,809",N,N
0,IL13,Rodney Davis ,gop,"$4,943,459","$4,822,600",Y,Y
0,IL13,Betsy Dirksen Londrigan ,dem,"$5,297,007","$5,281,880",N,N
0,IL14,Lauren A Underwood ,dem,"$7,803,579","$7,301,503",Y,Y
0,IL14,Jim Oberweis ,gop,"$2,438,857","$2,348,798",N,N
0,IL15,Mary Miller ,gop,"$689,057","$570,356",Y,N
0,IL15,Erika Weaver ,dem,"$58,689","$23,349",N,N
0,IL16,Adam Kinzinger ,gop,"$2,105,736","$1,588,550",Y,Y
0,IL16,Dani Brzozowski ,dem,"$459,344","$376,167",N,N
0,IL17,Cheri Bustos ,dem,"$4,975,192","$6,391,009",Y,Y
0,IL17,Esther Joy King ,gop,"$2,032,878","$2,030,587",N,N
0,IN01,Frank Mrvan Jr ,dem,"$578,635","$464,407",Y,N
0,IN01,Mark Leyva ,gop,"$16,551","$15,343",N,N
0,IN02,Jackie Walorski ,gop,"$2,383,467","$1,698,202",Y,Y
0,IN02,Pat Hackett ,dem,"$881,888","$867,301",N,N
0,IN03,Jim Banks ,gop,"$1,202,509","$769,591",Y,Y
0,IN03,Chip Coldiron ,dem,"$94,056","$89,883",N,N
0,IN04,Jim Baird ,gop,"$327,727","$190,158",Y,Y
0,IN04,Joe Mackey ,dem,"$44,585","$43,213",N,N
0,IN05,Christina Hale ,dem,"$4,010,368","$3,998,905",N,N
0,IN05,Victoria Spartz ,gop,"$3,119,328","$3,010,203",Y,N
0,IN06,Greg Pence ,gop,"$3,114,448","$2,804,148",Y,Y
0,IN06,Jeannine Lee Lake ,dem,"$143,089","$145,315",N,N
0,IN07,Andre Carson ,dem,"$1,011,635","$873,962",Y,Y
0,IN07,Susan Marie Smith ,gop,"$62,905","$59,843",N,N
0,IN08,Larry Bucshon ,gop,"$1,051,336","$1,078,646",Y,Y
0,IN08,Thomasina Marsili ,dem,"$68,734","$68,480",N,N
0,IN09,Trey Hollingsworth ,gop,"$1,166,754","$501,136",Y,Y
